Escola
Estação Primeira de Mangueira
Acadêmicos do Salgueiro
Portela
Império Serrano
Unidos da Capela
Aprendizes de Lucas
Mocidade Independente de Padre Miguel
União de Jacarepaguá
Caprichosos de Pilares
Unidos de Padre Miguel
Acadêmicos de Bento Ribeiro
Unidos do Cabuçu
Tupy de Brás de Pina
Unidos de Bangu
Beija-Flor
Império da Tijuca
Imperatriz Leopoldinense
Unidos de Vila Isabel
Acadêmicos de Santa Cruz
Unidos de Lucas
São Clemente
Unidos de São Carlos
Independentes do Leblon
Em Cima da Hora
Unidos do Jacarezinho
União da Ilha do Governador
Lins Imperial
Arrastão de Cascadura
Arranco
Unidos da Tijuca
Unidos da Ponte
Estácio de Sá
Tradição
Unidos do Viradouro
Acadêmicos do Grande Rio
Leão de Nova Iguaçu
Unidos da Villa Rica
Unidos do Porto da Pedra
Acadêmicos da Rocinha
Paraíso do Tuiuti
Renascer de Jacarepaguá
Inocentes de Belford Roxo
Beija-Flor de Nilópolis
